ID	jobs	opt_TT	time	status	LB
20160	6	108	0,923	Optimum found	108
20161	6	192	18,086	Optimum found	192
20162	6	25	0,472	Optimum found	25
20163	6	674	3,101	Optimum found	673,98
20164	6	471	1,536	Optimum found	471
20165	6	713	6,828	Optimum found	713
20166	6	814	1,394	Optimum found	814
20167	6	270	8,097	Optimum found	270
20168	6	297	9,888	Optimum found	297
20169	6	0	1,072	Optimum found	0
20170	6	48	5,4	Optimum found	48
20171	6	144	4,905	Optimum found	144
20172	6	447	1,145	Optimum found	447
20173	6	638	1,103	Optimum found	638
20174	6	713	3,78	Optimum found	713
20175	6	661	4,125	Optimum found	661
20176	6	629	23,58	Optimum found	628,973
20177	6	155	2,092	Optimum found	155
20178	6	1214	5,601	Optimum found	1214
20179	6	1362	1,162	Optimum found	1362
20180	6	751	1,393	Optimum found	751
20181	6	165	1,921	Optimum found	165
20182	6	158	4,724	Optimum found	158
20183	6	0	0,526	Optimum found	0
20184	6	52	1,186	Optimum found	52
20185	6	266	4,368	Optimum found	266
20186	6	184	9,596	Optimum found	184
20187	6	355	1,353	Optimum found	355
20188	6	557	1,509	Optimum found	556,979
20189	6	416	44,199	Optimum found	415,996
20190	6	751	39,397	Optimum found	750,997
20191	6	462	1,726	Optimum found	462
20192	6	75	5,757	Optimum found	75
20193	6	22	0,549	Optimum found	22
20194	6	303	4,257	Optimum found	303
20195	6	7	0,579	Optimum found	7
20196	6	309	2,958	Optimum found	309
20197	6	104	0,213	Optimum found	104
20198	6	0	0,606	Optimum found	0
20199	6	785	2,332	Optimum found	784,949
20200	6	919	33,786	Optimum found	918,974
20201	6	645	1,461	Optimum found	645
20202	6	794	2,894	Optimum found	794
20203	6	344	3,287	Optimum found	344
20204	6	983	8,387	Optimum found	983
20205	6	277	40,723	Optimum found	276,983
20206	6	45	2,522	Optimum found	45
20207	6	66	2,021	Optimum found	66
20208	6	0	1,122	Optimum found	0
20209	6	235	0,493	Optimum found	235
20210	6	192	1,253	Optimum found	192
20211	6	480	1,07	Optimum found	480
20212	6	433	47,543	Optimum found	432,979
20213	6	422	2,069	Optimum found	422
20214	6	1085	0,779	Optimum found	1085
20215	6	891	0,903	Optimum found	891
20216	6	862	2,988	Optimum found	862
20217	6	88	0,553	Optimum found	88
20218	6	366	6,405	Optimum found	366
20219	6	39	6,583	Optimum found	39
20220	6	181	15,432	Optimum found	181
20221	6	253	5,156	Optimum found	252,999
20222	6	47	0,251	Optimum found	47
20223	6	380	4,524	Optimum found	380
20224	6	257	3,035	Optimum found	257
20225	6	138	2,414	Optimum found	138
20226	6	451	1,265	Optimum found	451
20227	6	124	3,566	Optimum found	124
20228	6	421	0,569	Optimum found	421
20229	6	0	1,066	Optimum found	0
20230	6	113	3,434	Optimum found	113
20231	6	157	1,846	Optimum found	157
20232	6	65	7,018	Optimum found	65
20233	6	618	85,169	Optimum found	617,979
20234	6	269	10,896	Optimum found	269
20235	6	917	2,113	Optimum found	917
20236	6	364	2,216	Optimum found	364
20237	6	486	3,507	Optimum found	486
20238	6	463	3,289	Optimum found	463
20239	6	560	15,954	Optimum found	560
20240	6	1226	2	Optimum found	1226
20241	6	210	4,161	Optimum found	210
20242	6	242	1,799	Optimum found	242
20243	6	382	11,226	Optimum found	382
20244	6	57	0,807	Optimum found	57
20245	6	238	0,546	Optimum found	238
20246	6	97	0,455	Optimum found	97
20247	6	103	4,344	Optimum found	102,992
20248	6	438	5,695	Optimum found	437,965
20249	6	464	6,05	Optimum found	464
20250	6	1090	1,749	Optimum found	1090
20251	6	166	108,133	Optimum found	165,996
20252	6	636	2,008	Optimum found	636
20253	6	47	7,281	Optimum found	47
20254	6	137	8,069	Optimum found	137
20255	6	10	5,767	Optimum found	10
20256	6	237	0,58	Optimum found	237
20257	6	609	12,674	Optimum found	608,944
20258	6	390	4,119	Optimum found	390
20259	6	570	0,887	Optimum found	570
20260	6	208	0,69	Optimum found	208
20261	6	272	3,484	Optimum found	272
20262	6	157	1,513	Optimum found	157
20263	6	532	0,717	Optimum found	532
20264	6	417	7,961	Optimum found	417
20265	6	99	3,703	Optimum found	99
20266	6	9	1,021	Optimum found	9
20267	6	47	10,642	Optimum found	47
20268	6	457	2,573	Optimum found	457
20269	6	327	3,099	Optimum found	326,978
20270	6	217	1,7	Optimum found	217
20271	6	336	0,528	Optimum found	336
20272	6	389	11,556	Optimum found	389
20273	6	530	1,773	Optimum found	530
20274	6	381	3,794	Optimum found	381
20275	6	644	2,68	Optimum found	644
20276	6	518	18,868	Optimum found	518
20277	6	0	0,885	Optimum found	0
20278	6	115	8,348	Optimum found	115
20279	6	191	4,904	Optimum found	191
20280	6	245	0,917	Optimum found	245
20281	6	200	0,622	Optimum found	200
20282	6	293	39,684	Optimum found	292,994
20283	6	474	4,49	Optimum found	474
20284	6	344	1,668	Optimum found	344
20285	6	251	5,393	Optimum found	251
20286	6	760	1,408	Optimum found	760
20287	6	820	1,204	Optimum found	820
20288	6	169	20,592	Optimum found	169
20289	8	0	6,088	Optimum found	0
20290	8	90	2,299	Optimum found	90
20291	8	109	136,568	Optimum found	108,996
20292	8	279	7,413	Optimum found	279
20293	8	226	1,274	Optimum found	226
20294	8	0	2,493	Optimum found	0
20295	8	370	36,751	Optimum found	370
20296	8	346	609,595	Optimum found	345,998
20297	8	236	76,095	Optimum found	236
20298	8	1040	7,3	Optimum found	1040
