instance,alpha,solution,time,gap,lb,nodes,ub
20019,0.2,341.027106,0.127544,0.0,341.027106,130,341.027106
20020,0.2,148.722059,0.140648,0.0,148.722059,139,148.722059
20465,0.1,1400.792621,3600.007506,0.484605,721.962103,300620,1400.792621
20466,0.1,1755.01197,3600.005508,0.358048,1126.634289,193396,1755.01197
20467,0.1,2820.051965,3600.007357,0.308973,1948.731699,175168,2820.051965
20468,0.1,923.424191,3600.006445,0.54589,419.335815,142540,923.424191
20469,0.1,433.241842,3600.001281,0.726971,118.287604,218285,433.241842
20470,0.1,0.0,122.718393,0.0,0.0,8025,0.0
20471,0.1,53.277685,3087.42721,0.0,53.277685,86744,53.277685
20472,0.1,199.921225,517.096686,0.0,199.921225,22216,199.921225
20473,0.1,751.167792,3600.004033,0.499706,375.804761,250648,751.167792
20474,0.1,13.933055,3600.002476,0.066967,13.0,122868,13.933055
20475,0.1,1130.470784,3600.003778,0.667314,376.091378,334298,1130.470784
20476,0.1,1340.629103,3600.003993,0.388293,820.071736,215756,1340.629103
20477,0.1,744.717024,3600.000933,0.829633,126.874897,313873,744.717024
20478,0.1,702.710529,3600.000447,0.338973,464.510756,359417,702.710529
20479,0.1,429.979358,3600.00037,0.200615,343.718948,469658,429.979358
20480,0.1,724.076701,1261.657794,0.0,724.076701,146227,724.076701
20481,0.1,569.434817,3600.005714,0.706133,167.337848,285248,569.434817
20482,0.1,111.311236,2664.258903,0.0,111.311236,81676,111.311236
20483,0.1,231.079035,3600.004006,1.0,0.0,191525,231.079035
20484,0.1,235.655618,300.880012,0.0,235.655618,12554,235.655618
20462,0.1,1087.555748,2625.42202,0.0,1087.555748,146146,1087.555748
20525,0.2,1292.265021,3600.006384,0.573398,551.283121,113020,1292.265021
20526,0.2,622.732289,3600.004702,0.333056,415.327394,178310,622.732289
20527,0.2,601.39622,3600.000562,0.469459,319.065204,94982,601.39622
20528,0.2,1594.097807,3600.00128,0.548627,719.531945,370534,1594.097807
20529,0.2,1056.804774,3600.001837,0.886401,120.05175,271889,1056.804774
20530,0.2,747.312243,3600.002742,0.854841,108.479376,342112,747.312243
20531,0.2,356.14784,3600.008061,0.990744,3.296342,131212,356.14784
20532,0.2,204.530386,3600.001049,0.149271,174.0,122922,204.530386
20533,0.2,232.947934,915.231614,0.0,232.947934,23434,232.947934
20534,0.2,493.045918,3600.001997,0.400194,295.731728,154277,493.045918
20535,0.2,1420.725418,3600.006099,0.622278,536.63891,361188,1420.725418
20536,0.2,2159.531188,3600.0009,0.250097,1619.438924,410925,2159.531188
20431,0.2,1224.083733,3600.001431,0.050603,1162.140926,372845,1224.083733
20432,0.2,267.321136,3600.001173,0.174465,220.682871,369195,267.321136
20433,0.2,134.693506,3600.005784,1.0,0.0,327520,134.693506
20434,0.2,513.668262,3600.004008,0.805168,100.079087,194312,513.668262
20435,0.2,124.583646,3600.000839,0.244472,94.126437,119354,124.583646
20436,0.2,536.28156,3600.003937,0.506899,264.440918,209838,536.28156
20437,0.2,277.16949,79.833266,0.0,277.16949,4241,277.16949
20438,0.2,1040.962734,3600.003525,0.521361,498.245392,284242,1040.962734
20439,0.2,1172.237021,3600.003231,0.735483,310.076349,428922,1172.237021
20440,0.2,1053.714996,3600.005666,0.620898,399.465734,164550,1053.714996
20441,0.2,1041.275942,3600.003778,0.740433,270.280935,231706,1041.275942
20442,0.2,810.852018,3600.00284,0.578419,341.83958,436800,810.852018
20443,0.2,1680.494428,3600.003519,0.50707,828.365487,375056,1680.494428
20444,0.2,1365.087298,3600.000591,0.481453,707.862038,347802,1365.087298
20445,0.2,99.928031,3600.000592,0.52057,47.908522,275810,99.928031
20446,0.2,683.278164,3600.001464,0.717258,193.191568,356284,683.278164
20447,0.2,368.720078,3600.007698,0.711626,106.329379,132488,368.720078
20448,0.2,927.034143,3600.004065,0.331485,619.736433,207420,927.034143
20449,0.2,725.591502,3600.001832,0.34226,477.250714,243938,725.591502
20450,0.2,663.619661,1536.765278,0.0,663.619661,136973,663.619661
20451,0.2,1517.571104,3600.004986,0.571608,650.115661,718388,1517.571104
20452,0.2,1406.57866,3600.004508,0.676453,455.094978,606638,1406.57866
20453,0.2,1448.665819,3600.001197,0.663869,486.942066,346662,1448.665819
20454,0.2,1474.535605,3600.000505,0.438262,828.303373,489374,1474.535605
20455,0.2,1646.842572,3600.000428,0.308978,1138.004014,496709,1646.842572
20456,0.2,1113.083728,3600.000316,0.228262,859.009403,587608,1113.083728
20457,0.2,671.231196,3600.001087,0.915409,56.780381,217851,671.231196
20458,0.2,1156.870732,3600.000807,0.818706,209.734253,468420,1156.870732
20459,0.2,341.506738,3600.000759,1.0,0.0,393949,341.506738
20460,0.2,1916.108932,3600.000413,0.245632,1445.450586,729606,1916.108932
20461,0.2,1354.458023,3600.00089,0.488431,692.899406,332428,1354.458023
20462,0.2,1231.196919,3304.231048,0.0,1231.196919,279339,1231.196919
20463,0.2,1565.1051,3600.000663,0.791955,325.612894,455917,1565.1051
20464,0.2,1316.790781,3600.000239,0.722029,366.029322,414029,1316.790781
20465,0.2,1711.832282,3600.000761,0.504298,848.557947,708284,1711.832282
20466,0.2,1937.906081,3600.0002,0.337044,1284.746551,543864,1937.906081
20467,0.2,3405.889048,3600.001839,0.276,2465.862133,1376674,3405.889048
20468,0.2,1194.144178,3600.002332,0.47351,628.705184,1011200,1194.144178
20397,0.1,106.726394,147.81751,0.0,106.726394,20718,106.726394
20398,0.1,26.854877,1314.400143,0.0,26.854877,105796,26.854877
20399,0.1,0.0,17.09886,0.0,0.0,1577,0.0
20400,0.1,184.67398,2.829295,0.0,184.67398,680,184.67398
20401,0.1,119.095916,2.439776,0.0,119.095916,496,119.095916
20402,0.1,493.971213,206.134418,0.0,493.971213,33980,493.971213
20403,0.1,610.835632,841.355492,0.0,610.835632,82290,610.835632
20404,0.1,447.987808,3600.000326,0.51707,216.346725,1205215,447.987808
20405,0.1,831.368178,123.88461,0.0,831.368178,24733,831.368178
