instance,alpha,solution,time,gap,lb,nodes,ub
1511,0.0,8572.0,7.379116,inf,inf,0.0,-inf
1521,0.0,2656.0,4.271695,inf,inf,0.0,-inf
1531,0.0,11915.0,8.76845,inf,inf,0.0,-inf
1541,0.0,7849.0,8.611655,inf,inf,0.0,-inf
1551,0.0,9698.0,10.343931,inf,inf,0.0,-inf
1561,0.0,5314.0,9.990892,inf,inf,0.0,-inf
1571,0.0,13409.0,13.311613,inf,inf,0.0,-inf
1581,0.0,16465.0,16.026121,inf,inf,0.0,-inf
1591,0.0,32873.0,13.409177,inf,inf,0.0,-inf
1601,0.0,1799.0,10.433283,inf,inf,0.0,-inf
1611,0.0,1033.0,12.233402,inf,inf,0.0,-inf
1621,0.0,6477.0,13.336943,inf,inf,0.0,-inf
1631,0.0,4805.0,6.115351,inf,inf,0.0,-inf
1641,0.0,11157.0,10.990569,inf,inf,0.0,-inf
1651,0.0,10599.0,9.346479,inf,inf,0.0,-inf
1661,0.0,3200.0,11.669683,inf,inf,0.0,-inf
1671,0.0,4127.0,8.536293,inf,inf,0.0,-inf
1681,0.0,5139.0,12.613996,inf,inf,0.0,-inf
1691,0.0,9150.0,9.709857,inf,inf,0.0,-inf
1701,0.0,32015.0,13.877334,inf,inf,0.0,-inf
1711,0.0,10392.0,11.368267,inf,inf,0.0,-inf
1721,0.0,2282.0,12.381684,inf,inf,0.0,-inf
1731,0.0,3237.0,14.194244,inf,inf,0.0,-inf
1741,0.0,666.0,9.334279,inf,inf,0.0,-inf
1751,0.0,10057.0,13.321719,inf,inf,0.0,-inf
1761,0.0,10392.0,11.037537,inf,inf,0.0,-inf
1771,0.0,10624.0,12.212466,inf,inf,0.0,-inf
1781,0.0,4929.0,13.235167,inf,inf,0.0,-inf
1791,0.0,9596.0,14.421866,inf,inf,0.0,-inf
1801,0.0,19385.0,15.609224,inf,inf,0.0,-inf
1811,0.0,14278.0,13.778626,inf,inf,0.0,-inf
1821,0.0,19098.0,10.11394,inf,inf,0.0,-inf
1831,0.0,29034.0,12.588128,inf,inf,0.0,-inf
1841,0.0,823.0,9.55261,inf,inf,0.0,-inf
1851,0.0,1543.0,10.575448,inf,inf,0.0,-inf
1861,0.0,867.0,6.277222,inf,inf,0.0,-inf
1871,0.0,5304.0,8.840372,inf,inf,0.0,-inf
1881,0.0,9945.0,7.992057,inf,inf,0.0,-inf
1891,0.0,21395.0,13.51363,inf,inf,0.0,-inf
1901,0.0,2311.0,13.279034,inf,inf,0.0,-inf
1911,0.0,7552.0,12.544663,inf,inf,0.0,-inf
1921,0.0,11949.0,8.136684,inf,inf,0.0,-inf
1931,0.0,18854.0,14.514291,inf,inf,0.0,-inf
1941,0.0,23612.0,13.057354,inf,inf,0.0,-inf
1951,0.0,22724.0,10.53624,inf,inf,0.0,-inf
1961,0.0,2838.0,36.970935,inf,inf,0.0,-inf
1971,0.0,307.0,33.900318,inf,inf,0.0,-inf
1981,0.0,5424.0,28.96944,inf,inf,0.0,-inf
1991,0.0,17512.0,29.302811,inf,inf,0.0,-inf
2481,0.1,3861.972435,1989.208545,inf,inf,0.0,-inf
2491,0.1,12070.241678,114.490183,inf,inf,0.0,-inf
2501,0.1,3958.037734,115.372995,inf,inf,0.0,-inf
2511,0.1,3911.469415,69.503608,inf,inf,0.0,-inf
2521,0.1,5879.074348,72.126922,inf,inf,0.0,-inf
2281,0.1,16482.622253,1869.611319,inf,inf,0.0,-inf
2291,0.1,46410.362899,452.938173,inf,inf,0.0,-inf
2301,0.1,56474.673981,885.228615,inf,inf,0.0,-inf
2311,0.1,Unknown,,,,,
1001,0.1,1005.810775,31.333138,inf,inf,0.0,-inf
1011,0.1,332.952506,64.470016,inf,inf,0.0,-inf
1021,0.1,1021.731651,4.793469,inf,inf,0.0,-inf
1031,0.1,4761.753107,5.739148,inf,inf,0.0,-inf
1041,0.1,7013.729048,5.472323,inf,inf,0.0,-inf
1051,0.1,8392.179152,2.967513,inf,inf,0.0,-inf
1061,0.1,1501.445236,3.445548,inf,inf,0.0,-inf
1071,0.1,5583.876534,4.893366,inf,inf,0.0,-inf
1081,0.1,2473.155998,25.523393,inf,inf,0.0,-inf
1091,0.1,6973.042072,4.58828,inf,inf,0.0,-inf
1101,0.1,8969.115995,2.951529,inf,inf,0.0,-inf
1111,0.1,16921.082602,5.491649,inf,inf,0.0,-inf
1121,0.1,485.000000,6.27474,inf,inf,0.0,-inf
1131,0.1,1374.219786,15.970478,inf,inf,0.0,-inf
1141,0.1,1908.397093,4.306786,inf,inf,0.0,-inf
1151,0.1,7148.514611,5.775897,inf,inf,0.0,-inf
1161,0.1,8777.526091,7.935847,inf,inf,0.0,-inf
1171,0.1,6009.158256,3.854218,inf,inf,0.0,-inf
1181,0.1,988.654292,2.255188,inf,inf,0.0,-inf
1191,0.1,2950.948310,3.232656,inf,inf,0.0,-inf
1201,0.1,2427.733198,17.777798,inf,inf,0.0,-inf
1211,0.1,7077.231831,4.609144,inf,inf,0.0,-inf
1221,0.1,12763.437304,3.718827,inf,inf,0.0,-inf
1231,0.1,10318.255384,4.086896,inf,inf,0.0,-inf
1241,0.1,374.680415,3.281587,inf,inf,0.0,-inf
1251,0.1,2450.072668,10.881949,inf,inf,0.0,-inf
1261,0.1,2226.735487,6.74451,inf,inf,0.0,-inf
1271,0.1,4152.075043,7.117134,inf,inf,0.0,-inf
1281,0.1,2603.427234,14.666054,inf,inf,0.0,-inf
1291,0.1,7969.210359,3.277961,inf,inf,0.0,-inf
1301,0.1,4137.265292,6.70172,inf,inf,0.0,-inf
1311,0.1,4363.091882,17.620831,inf,inf,0.0,-inf
1321,0.1,2842.465728,4.209059,inf,inf,0.0,-inf
1331,0.1,2141.312279,21.007326,inf,inf,0.0,-inf
1341,0.1,8887.584834,3.525641,inf,inf,0.0,-inf
1351,0.1,12396.910739,3.770504,inf,inf,0.0,-inf
1361,0.1,836.191832,6.628385,inf,inf,0.0,-inf
1371,0.1,1399.060105,4.598431,inf,inf,0.0,-inf
1381,0.1,Unknown,,,,,
1391,0.1,5077.871475,7.806501,inf,inf,0.0,-inf
1401,0.1,5357.058090,15.365245,inf,inf,0.0,-inf
1411,0.1,8926.058875,8.161412,inf,inf,0.0,-inf
1421,0.1,3773.005776,10.200067,inf,inf,0.0,-inf
1431,0.1,3612.545946,8.180186,inf,inf,0.0,-inf
1441,0.1,4943.102564,7.899352,inf,inf,0.0,-inf
1451,0.1,5403.796335,9.221263,inf,inf,0.0,-inf
1461,0.1,16835.865584,10.606725,inf,inf,0.0,-inf
1471,0.1,10553.909260,7.919904,inf,inf,0.0,-inf
1481,0.1,Unknown,,,,,
